MAPID,NAME,CATEGORY1,CATEGORY2,ADDRESS,Geo Local Area
GCP002,Southeast False Creek Neighbourhood Ener,City projects,Climate-Leadership,,Mount Pleasant
GCP008,LEED Platinum Building Certified in 2010,City projects,Green-Buildings,51 W 1st AV,Mount Pleasant
GCP011,LEED Platinum Neighbourhood Certified in,Private projects,Green-Buildings,12 Athletes Way,Mount Pleasant
GCP012,LEED Gold Building Certified 2012,Private projects,Green-Buildings,1866 Main Mall,
GCP018,LEED Gold Building Certified 2011,Private projects,Green-Buildings,2177 Wbrook Mall,
GCP019,LEED Gold for Commercial Interiors 2011,Private projects,Green-Buildings,507 W Broadway,Fairview
GCP023,LEED Gold Building Certified 2010,Private projects,Green-Buildings,199 W 1st AV,Mount Pleasant
GCP027,LEED Gold Building Certified 2010,Private projects,Green-Buildings,181 Athletes Way,Mount Pleasant
GCP041,City Studio,City Studio Project,Lighter-Footprint,1800 Spyglass Place,Fairview
GCP042,BikeLab,City Studio Project,Green-Transportation,1455 Quebec St,Downtown
GCP044,New Bike pumps,City projects,Green-Transportation,Hawks Ave. and Union St,Strathcona
GCP047,BiodiverCity,City Studio Project,Access-to-Nature,1800 Spyglass Pl,Fairview
GCP048,Walking Local,City Studio Project,Local-Food,Grandview-Woodlands neighbourhood,Grandview-Woodland
GCP053,The Stoop,City Studio Project,Zero-Waste,2525 Main St,Mount Pleasant
GCP054,Marpole Orphaned Spaces,City Studio Project,Access-to-Nature,Marpole neighbourhood,Marpole
GCP055,VanbirdCity,City Studio Project,Access-to-Nature,1800 Spyglass Pl,Fairview
GCP058,Community Conversations,City Studio Project,Lighter-Footprint,Grandview-Woodlands neighbourhood,Grandview-Woodland
GCP060,The Long Table,City Studio Project,Lighter-Footprint,All neighbourhoods,Fairview
GCP061,mApples,City Studio Project,Local-Food,Mount Pleasant neighbourhood,Mount Pleasant
GCP062,Parks in Streets,City Studio Project,Access-to-Nature,1800 Spyglass Pl,Fairview
GCP070,Jericho Beach restoration,City projects,Access-to-Nature,,West Point Grey
GCP072,450m Habitat skirt under convention cent,Private projects,Access-to-Nature,1055 Canada Pl,Downtown
GCP077,Community orchards,City projects,Local-Food,404 E 51st Avenue,Sunset
GCP080,Community orchards,City projects,Local-Food,7188 MacDonald St,Kerrisdale
GCP081,Community orchards,Private projects,Local-Food,500 block of East 23rd Ave,Riley Park
GCP085,Community orchards,City projects,Local-Food,3201 New Brighton Rd,Hastings-Sunrise
GCP086,Community orchards,City projects,Local-Food,801 W 22nd Av,South Cambie
GCP087,Community orchards,Private projects,Local-Food,2750 E 29th Av,Renfrew-Collingwood
GCP092,Community orchards,City projects,Local-Food,3161 Ontario Street,Mount Pleasant
GCP093,Community orchards,City projects,Local-Food,1025 Boundary Rd,Hastings-Sunrise
GCP100,Copely Community Orchard,Private projects,Local-Food,3590 Copley St,Kensington-Cedar Cottage
GCP105,Strathcona Business Improvement Associat,Greenest City Fund Project,Green-Economy,1222 E Hastings St,Strathcona
GCP106,S.U.C.C.E.S.S. greening local  businesse,Greenest City Fund Project,Green-Economy,#214-181 Keefer Place,Downtown
GCP109,Sole Food Farms - urban farms,Private projects,Local-Food,Carrall and Pacific,Downtown
GCP110,Sole Food Farms - urban farms,Private projects,Local-Food,Main and 1st,Mount Pleasant
GCP111,Sole Food Farms - urban farms,Private projects,Local-Food,East 1st and Clark,Strathcona
GCP113,Food Scraps Drop off at Farmers Markets,Private projects,Local-Food,4601 Ontario St,Riley Park
GCP114,Food Scraps Drop off at Farmers Markets,Private projects,Local-Food,1019 Broughton St,West End
GCP120,Farmers Markets,Private projects,Local-Food,2690 Larch St,Kitsilano
GCP123,David Thompson Elementary School,Greenest City Fund Project,Zero-Waste,1755 E 55th Av,Victoria-Fraserview
GCP129,Windermere Organic Garden Committee,Greenest City Fund Project,Local-Food,3155 E 27 Av,Renfrew-Collingwood
GCP135,My World in a Garden - Sister Walls,Greenest City Fund Project,Local-Food,"1500, 701 West Georgia Street",Strathcona
GCP138,Windermere Secondary,Greenest City Fund Project,Local-Food,3155 E 27 Av,Renfrew-Collingwood
GCP143,Windermere Organic Garden Project,Greenest City Fund Project,Local-Food,3155 E 27 Av,Renfrew-Collingwood
GCP145,The Moss is greener on the other wall,Greenest City Fund Project,Lighter-Footprint,South Van - Collingwood,Renfrew-Collingwood
GCP147,Climate Change Conference,Greenest City Fund Project,Lighter-Footprint,South Van - Collingwood,Renfrew-Collingwood
GCP148,Sir Wilfrid Laurier School Garden,Greenest City Fund Project,Access-to-Nature,590 65 Avenue West,Fairview
GCP154,Pollinating our Communities,Greenest City Fund Project,Local-Food,"Cedar Cottage, Kensington and Hastings-Sunrise",Kensington-Cedar Cottage
GCP156,Community Seasonal Food Celebrations,Greenest City Fund Project,Local-Food,"Cedar Cottage, Kensington and Hastings-Sunrise",Kensington-Cedar Cottage
GCP157,Neighbourhood Harvest and Seed Trade,Greenest City Fund Project,Local-Food,"Cedar Cottage, Kensington and Hastings-Sunrise",Kensington-Cedar Cottage
GCP158,Garden School,Greenest City Fund Project,Local-Food,"Cedar Cottage, Kensington and Hastings-Sunrise",Kensington-Cedar Cottage
GCP166,Public art intersection,Greenest City Fund Project,Lighter-Footprint,West End,West End
GCP169,Recycling hard plastics,Greenest City Fund Project,Zero-Waste,West End,West End
GCP170,Community Garden,Greenest City Fund Project,Local-Food,West End,West End
GCP174,Roof top garden,Greenest City Fund Project,Local-Food,West End,West End
GCP178,Street garden irrigation,Greenest City Fund Project,Local-Food,West End,West End
GCP179,Bike Co-op and Immigrant Services Societ,Greenest City Fund Project,Green-Transportation,333 Terminal Av,Strathcona
GCP180,Butt out ashtrays,Greenest City Fund Project,Lighter-Footprint,West End,West End
GCP182,Cycling initiative,Greenest City Fund Project,Green-Transportation,West End,West End
